x,y,latitude,transparen,station_vi,longitude,fid,visit_date,color_id
24.3473,57.8698,57.869799999999998,0.900000000000000,98254.0,24.347300000000001,173,1998/07/27 19:25:00.000,15.0
24.3417,57.7647,57.764699999999998,1.400000000000000,98255.0,24.341699999999999,174,1998/07/28 08:10:00.000,17.0
24.3393,57.7438,57.743800000000000,1.200000000000000,98256.0,24.339300000000001,175,1998/07/28 08:35:00.000,15.0
24.1414,57.0965,57.096499999999999,1.900000000000000,98257.0,24.141400000000001,176,1998/08/03 13:30:00.000,17.0
24.103,57.0833,57.083300000000001,1.800000000000000,98258.0,24.103000000000002,177,1998/08/03 14:10:00.000,17.0
23.9647,57.0235,57.023499999999999,1.800000000000000,98260.0,23.964700000000001,178,1998/08/03 16:10:00.000,21.0
23.8785,56.9945,56.994500000000002,2.000000000000000,98262.0,23.878499999999999,179,1998/08/03 18:15:00.000,19.0
23.829,56.9858,56.985799999999998,1.800000000000000,98263.0,23.829000000000001,180,1998/08/03 18:40:00.000,17.0
23.786,56.9772,56.977200000000003,1.500000000000000,98264.0,23.786000000000001,181,1998/08/03 19:10:00.000,15.0
23.7273,56.9693,56.969299999999997,1.600000000000000,98265.0,23.727300000000000,182,1998/08/03 19:35:00.000,15.0
23.6897,56.9652,56.965200000000003,1.900000000000000,98266.0,23.689699999999998,183,1998/08/03 20:05:00.000,15.0
23.1424,57.3285,57.328499999999998,1.700000000000000,98267.0,23.142399999999999,184,1998/08/04 06:25:00.000,15.0
23.2029,57.2134,57.213400000000000,1.800000000000000,98268.0,23.202900000000000,185,1998/08/04 08:25:00.000,15.0
23.2411,57.1109,57.110900000000001,1.800000000000000,98269.0,23.241099999999999,186,1998/08/04 09:35:00.000,13.0
23.3679,57.0472,57.047199999999997,1.500000000000000,98270.0,23.367899999999999,187,1998/08/04 10:50:00.000,15.0
24.0017,57.0833,57.083300000000001,1.400000000000000,98272.0,24.001700000000000,188,1998/08/04 20:20:00.000,21.0
