x,y,latitude,transparency_m,station_vi,longitude,fid,visit_date,color_id,HELCOM_ID,country,level_2,Name,Open_sea,F2_Name,new_area_k,Shape_Leng,Shape_Area
24.1505,57.2233,57.2233,2,202076,24.1505,1510,2002/05/07 18:30:00.000,13,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
24.3667,57.24,57.24,2,202077,24.3667,1511,2002/05/07 20:10:00.000,13,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07
24.3733,57.315,57.315,2.2,202078,24.3733,1512,2002/05/07 21:25:00.000,13,LAT-004,Latvia,Gulf of Riga,"Gulf of Riga stony coast, waterbodies D&F",,"Gulf of Riga stony coast, waterbodies D&F",308.69830546,436367.284109,1064792248.48
24.0833,57.35,57.35,2.4,202079,24.0833,1513,2002/05/08 06:00:00.000,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
24.2717,57.4415,57.4415,2.6,202080,24.2717,1514,2002/05/08 08:25:00.000,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
24.3533,57.4483,57.4483,2.7,202081,24.3533,1515,2002/05/08 09:30:00.000,13,LAT-004,Latvia,Gulf of Riga,"Gulf of Riga stony coast, waterbodies D&F",,"Gulf of Riga stony coast, waterbodies D&F",308.69830546,436367.284109,1064792248.48
24.3367,57.5933,57.5933,2.9,202082,24.3367,1516,2002/05/08 10:55:00.000,13,LAT-004,Latvia,Gulf of Riga,"Gulf of Riga stony coast, waterbodies D&F",,"Gulf of Riga stony coast, waterbodies D&F",308.69830546,436367.284109,1064792248.48
24.2976,57.5922,57.5922,2.4,202083,24.2976,1517,2002/05/08 11:25:00.000,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
24.1167,57.6,57.6,2.3,202084,24.1167,1518,2002/05/08 12:55:00.000,13,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7
24.315,57.7467,57.7467,2.1,202085,24.315,1519,2002/05/08 15:10:00.000,13,LAT-004,Latvia,Gulf of Riga,"Gulf of Riga stony coast, waterbodies D&F",,"Gulf of Riga stony coast, waterbodies D&F",308.69830546,436367.284109,1064792248.48
